Angle1,x1,y1,x2,y2,x3,y3
-2.03,35,-986,19,914,-5,66
-2.57,44,-980,19,916,-11,70
-2.67,46,-986,15,916,-5,74
-2.43,42,-988,13,916,-3,66
-2.27,39,-984,17,914,-5,70
-2.44,42,-986,19,917,-3,70
-2.56,44,-986,11,912,-5,74
-2.43,42,-988,15,916,-5,72
-2.55,44,-988,11,912,-5,72
-2.55,44,-988,19,914,-3,76
-2.79,48,-986,13,916,-5,76
-2.54,44,-992,13,916,-3,74
-2.26,39,-988,19,914,-1,66
-2.39,41,-984,15,916,-7,62
-2.44,42,-986,11,912,-5,68
-1.69,29,-984,17,916,-5,60
-1.81,31,-982,13,912,-1,62
-2.16,37,-982,17,914,-9,64
-1.69,29,-982,17,916,-11,60
-1.8,31,-984,19,912,-13,56
-1.92,33,-982,15,916,-3,58
-2.16,37,-982,15,914,-9,64
-1.92,33,-982,15,916,-7,62
-1.8,31,-984,15,912,-3,60
-2.05,35,-980,13,910,-7,62
-1.93,33,-978,15,912,-9,62
-2.16,37,-982,9,912,-5,74
-2.28,39,-980,23,912,-7,68
-2.05,35,-980,19,908,-7,64
-2.27,39,-982,13,912,-7,68
-1.81,31,-982,13,912,-3,64
-2.16,37,-982,15,910,-5,62
-1.92,33,-984,13,914,-5,58
-1.57,27,-982,13,916,-5,56
