Inclinometer Data Before Filtering,Filtered Data,Norm_Var,Filted Var
1.91314,2.08745,0.00206664,0.671988
1.92115,2.08073,0.00172638,0.647205
2.17017,2.08422,0.000499391,0.624352
2.14759,2.08661,0.000250702,0.603219
2.15206,2.08899,0.000267434,0.583624
2.16108,2.09154,0.000324378,0.565412
2.15656,2.09377,0.000263892,0.548445
1.92115,2.08802,0.00186001,0.532605
2.03686,2.08637,0.000163399,0.517788
2.15206,2.08844,0.000269384,0.503902
2.02838,2.08659,0.00022514,0.490866
1.91314,2.08141,0.00187804,0.478608
2.03261,2.07998,0.000148625,0.467064
2.03686,2.07875,0.000116068,0.456176
2.26677,2.08399,0.00220668,0.445894
2.04112,2.08282,0.000114728,0.43617
1.91314,2.07829,0.00179726,0.426964
1.78991,2.07076,0.00519136,0.418238
2.15206,2.07284,0.000412629,0.409958
2.39092,2.08083,0.00631556,0.402092
1.90519,2.07085,0.00148203,0.909746
2.03261,2.06878,9.13E-05,0.86304
2.27625,2.07943,0.00268679,0.82112
2.2715,2.08883,0.00230278,0.783299
2.03261,2.0862,0.000197323,0.749013
1.91713,2.07862,0.00178435,0.717798
2.15206,2.08178,0.000336698,0.689269
2.15656,2.08488,0.000349061,0.663099
1.92115,2.07834,0.00167337,0.639016
2.15656,2.08136,0.000381914,0.616786
2.03686,2.0797,0.000123588,0.59621
2.03261,2.078,0.000138406,0.577114
2.27625,2.08493,0.00245339,0.559351
2.04112,2.08344,0.000119808,0.542791
1.91713,2.07796,0.00172661,0.52732
2.16108,2.08063,0.000431242,0.512838
2.15206,2.08286,0.000318521,0.499257
2.03686,2.08146,0.00013206,0.486501
2.02838,2.07988,0.000175854,0.474499
2.15206,2.08197,0.000325187,0.46319
1.92115,2.07742,0.00161448,0.452519
2.2715,2.08279,0.00235115,0.442437
2.16108,2.08491,0.000382597,0.432898
2.14759,2.08657,0.00024525,0.423864
2.02416,2.08495,0.00024313,0.415297
2.2858,2.09006,0.00251816,0.407165
2.03686,2.08873,0.000176674,0.399438
2.13868,2.08996,0.000155726,0.392088
2.26677,2.09421,0.0019515,0.385091
2.04112,2.09296,0.000175954,0.378424
2.15206,2.09433,0.000218054,0.372066
2.26677,2.09828,0.00185613,0.365998
2.03261,2.0968,0.00026916,0.360202
2.15656,2.09812,0.000222946,0.354662
2.15206,2.0993,0.000181606,0.349364
2.39092,2.10557,0.00530852,0.344292
2.26207,2.10889,0.00152876,0.339435
2.02838,2.10721,0.000404658,0.33478
2.26207,2.11041,0.00149698,0.330317
2.03261,2.10882,0.000377802,0.326035
2.03261,2.10729,0.000362562,0.321925
2.15656,2.10827,0.000151541,0.317978
2.39092,2.11382,0.00498704,0.314185
2.14312,2.11439,5.36E-05,0.310538
2.28102,2.11758,0.00173325,0.307031
1.90915,2.11363,0.00271191,0.303657
2.15206,2.11435,9.22E-05,0.300408
2.03261,2.11283,0.000417068,0.29728
2.15656,2.11364,0.000119363,0.294267
2.04112,2.11232,0.000328246,0.291363
2.26677,2.1151,0.00148916,0.288563
2.27625,2.11798,0.00162104,0.285863
2.15206,2.11858,7.25E-05,0.283258
2.15656,2.11925,9.00E-05,0.280744
2.16108,2.11998,0.000109225,0.278317
2.03261,2.11847,0.000476468,0.275973
2.15656,2.11912,9.06E-05,0.273709
2.02838,2.11758,0.000513987,0.271522
2.15656,2.11824,9.48E-05,0.269408
2.15206,2.1188,7.14E-05,0.267364
1.90915,2.11533,0.00274373,0.265388
2.16108,2.11608,0.000130676,0.263477
2.02838,2.11465,0.000480099,0.261628
2.27625,2.11727,0.00163022,0.259838
2.03686,2.11597,0.000403604,0.258106
2.03261,2.11464,0.000433791,0.25643
1.79364,2.10952,0.00643188,0.254806
2.16108,2.11203,0.000127686,0.777586
2.02838,2.10814,0.000436788,0.74382
1.91713,2.09963,0.00227749,0.71306
1.91314,2.09165,0.00217091,0.684928
2.15656,2.09432,0.000263039,0.65911
2.15206,2.09661,0.000208112,0.635338
2.15656,2.09891,0.000224327,0.613386
2.02838,2.0963,0.000310522,0.593057
2.02838,2.09386,0.000287929,0.574185
2.03686,2.09188,0.000202802,0.556622
2.2715,2.09794,0.00201403,0.540244
2.15656,2.09986,0.000214493,0.524937
2.2715,2.10534,0.00183888,0.510605
2.16108,2.10707,0.00019393,0.497161
2.14759,2.1083,0.00010247,0.48453
2.16108,2.10986,0.000173887,0.472643
2.03261,2.10763,0.000372504,0.46144
2.03686,2.10564,0.00031265,0.450867
1.92518,2.10067,0.00203277,0.440874
1.91713,2.09572,0.00210269,0.431419
1.92923,2.09132,0.00173019,0.422462
2.16108,2.09313,0.00030377,0.413967
2.03686,2.0917,0.000197615,0.405902
2.2715,2.09617,0.00201803,0.398237
2.26677,2.10034,0.00181668,0.390945
2.02416,2.09851,0.000362274,0.384002
2.15656,2.09988,0.000210327,0.377386
2.15206,2.10109,0.000169945,0.371076
2.03686,2.09963,0.000257541,0.365052
2.28102,2.1037,0.0020539,0.359298
2.15656,2.10487,0.000174416,0.353798
2.03261,2.1033,0.000325929,0.348537
2.15656,2.10444,0.0001771,0.3435
2.02838,2.10283,0.000361106,0.338677
2.14312,2.10367,0.000101335,0.334053
2.03261,2.10221,0.0003152,0.32962
2.04112,2.10096,0.000232927,0.325366
2.15206,2.10199,0.000162973,0.321283
2.15656,2.10307,0.000185887,0.31736
2.15656,2.10412,0.000178586,0.313591
2.16108,2.10522,0.000202521,0.309968
1.92115,2.1017,0.00211506,0.306482
2.03261,2.10039,0.00029795,0.303128
1.91713,2.09695,0.00209637,0.2999
2.03261,2.09576,0.000258437,0.29679
2.16108,2.09696,0.000266331,0.293795
2.15656,2.09804,0.000221733,0.290908
2.15656,2.0991,0.000213743,0.288124
2.14759,2.09996,0.000146787,0.285439
2.38594,2.10502,0.00510506,0.282849
2.04112,2.1039,0.000254866,0.280349
2.15656,2.10481,0.000173111,0.277936
1.92518,2.10172,0.00201424,0.275605
1.91713,2.09857,0.00212691,0.273354
2.15656,2.09955,0.000209949,0.271179
2.16562,2.10066,0.000272501,0.269076
2.03686,2.09959,0.00025408,0.267043
2.03686,2.09856,0.00024567,0.265078
2.26677,2.10132,0.0017663,0.263177
2.02838,2.10013,0.000332119,0.261337
2.04541,2.09924,0.000186914,0.259557
2.15656,2.10017,0.000205071,0.257834
1.79364,2.09526,0.00586508,0.256166
2.2715,2.09806,0.00193888,0.254551
2.16562,2.09913,0.000284891,0.252986
1.92115,2.09633,0.00197736,0.251471
2.03261,2.09534,0.000253478,0.250003
1.90915,2.09245,0.00216392,0.24858
2.03261,2.09152,0.000223488,0.247201
1.91314,2.08878,0.00198625,0.245863
2.04112,2.08805,0.000141789,0.244567
1.25576,2.07539,0.0432402,0.24331
1.79739,2.06206,0.00371278,0.767173
0.299661,1.98118,0.193887,0.734347
-0.420402,1.80112,0.277069,1.19962
0.419522,1.66405,0.091697,1.5873
-2.03261,1.22619,0.656469,1.89516
-1.92115,0.807119,0.475863,2.13042
-1.67764,0.449162,0.296594,2.30498
-2.76055,-0.0386496,0.49491,2.43168
-2.88038,-0.48661,0.387936,2.52219
-2.77216,-0.856027,0.250943,2.5861
-3.4864,-1.28854,0.332375,2.63088
-4.36662,-1.80067,0.45515,2.66207
-4.40796,-2.23799,0.326568,2.68371
-5.57947,-2.80159,0.536378,2.69868
-5.47164,-3.25367,0.342478,2.70902
-4.8888,-3.53125,0.12844,2.71615
-6.61865,-4.05631,0.457911,2.72106
-6.20085,-4.42148,0.220934,2.72444
-6.20735,-4.72583,0.153213,2.72677
-6.85707,-5.08926,0.218202,2.72837
-6.50615,-5.33097,0.0964426,2.72948
-6.89308,-5.59753,0.117225,2.73023
-7.47547,-5.91804,0.169418,2.73076
-7.35623,-6.16353,0.0993637,2.73111
-7.72992,-6.43093,0.117867,2.73136
-7.8492,-6.67306,0.0966302,2.73153
-8.10453,-6.91745,0.0984375,2.73165
-7.96842,-7.09688,0.053061,2.73173
-8.8788,-7.40112,0.152535,2.73178
-8.71865,-7.62608,0.0833899,2.73182
-9.15466,-7.88707,0.112247,2.73185
-9.492,-8.1611,0.123739,2.73187
-9.88908,-8.45614,0.143441,2.73188
-10.4077,-8.78935,0.182962,2.73189
-9.98705,-8.99385,0.0689111,2.73189
-10.439,-9.2406,0.100327,2.7319
-11.051,-9.54971,0.15745,2.7319
-10.8378,-9.76965,0.0797046,2.7319
-11.3573,-10.0407,0.121089,2.7319
-11.6771,-10.3201,0.128635,2.7319
-11.5346,-10.5275,0.0708546,2.7319
-13.5564,-11.0447,0.440723,2.7319
-12.9721,-11.3738,0.178466,2.7319
-12.7642,-11.6112,0.0928751,2.7319
-14.1089,-12.0376,0.299699,2.7319
-13.7298,-12.3266,0.137555,2.7319
-14.08,-12.626,0.147697,2.7319
-14.1682,-12.8893,0.114262,2.7319
-14.1978,-13.1127,0.082253,2.7319
-14.314,-13.3178,0.0693255,2.7319
-14.7251,-13.5581,0.0951383,2.7319
-15.2762,-13.8515,0.141804,2.7319
-14.9275,-14.0352,0.0556227,2.7319
-14.7251,-14.153,0.0228656,2.7319
-15.0127,-14.2998,0.0355061,2.7319
-14.9899,-14.4176,0.0228796,2.7319
-15.0752,-14.5299,0.0207732,2.7319
-14.8419,-14.5832,0.0046766,2.7319
-14.9586,-14.638,0.00879851,2.3353
-14.4911,-14.6154,0.00103612,2.45345
-14.6694,-14.6226,0.000181742,2.12913
-19.2873,-15.171,1.35825,1.88103
-16.1367,-15.299,0.044798,2.11979
-15.1699,-15.2804,0.000800184,2.29719
