Angle1,x1,y1,Angle2,x2,y2,Angle3,x3,y3,,Angle_t
-2.83,48,-972,1.074957711,17,906,-2.147580406,-3,80,,3.032695524
-3.19,54,-970,0.944348195,15,910,-2.070025812,-3,83,,3.395979017
-3.06,52,-974,1.079723582,17,902,-4.707841235,-7,85,,3.299422949
-2.84,48,-968,0.822066534,13,906,-4.879262373,-7,82,,3.032695524
-2.83,48,-972,0.948516743,15,906,-5.12817905,-7,78,,3.032695524
-2.94,50,-972,0.950614847,15,904,-6.263475968,-9,82,,3.165781355
-3.17,54,-974,0.697147121,11,904,-2.147580406,-3,80,,3.418465424
-2.94,50,-972,0.820256063,13,908,-3.44737879,-5,83,,3.151863362
-3.05,52,-976,0.946427879,15,908,-5.000632904,-7,80,,3.277668288
-2.82,48,-976,0.69407629,11,908,-3.489316746,-5,82,,3.026028007
-3.07,52,-970,0.695608317,11,906,-3.44737879,-5,83,,3.284887931
-3.07,52,-968,0.822066534,13,906,-2.147580406,-3,80,,3.284887931
-2.94,50,-972,0.69407629,11,908,-3.489316746,-5,82,,3.151863362
-3.07,52,-968,0.823885015,13,904,-2.095247665,-3,82,,3.292139415
-2.95,50,-970,0.948516743,15,906,-3.489316746,-5,82,,3.158807043
-3.06,52,-974,0.948516743,15,906,0,0,83,,3.284887931
-3.06,52,-972,0.692550996,11,910,-0.716158271,-1,80,,3.270480275
-3.06,52,-974,0.950614847,15,904,-2.202593011,-3,78,,3.292139415
-3.06,52,-972,0.820256063,13,908,-5.000632904,-7,80,,3.277668288
-2.94,50,-974,0.820256063,13,908,-4.879262373,-7,82,,3.151863362
-2.94,50,-974,0.946427879,15,908,-2.202593011,-3,78,,3.151863362
-3.06,52,-972,0.695608317,11,906,-3.576326012,-5,80,,3.284887931
-3.18,54,-972,0.820256063,13,908,-3.44737879,-5,83,,3.403441582
-3.19,54,-970,0.823885015,13,904,-3.576326012,-5,80,,3.418465424
